Time (s),Inlet Water Temp (C),Outlet Water Temp (C),Inlet Air Temp (C),Outlet Air Temp (C)
359.94,37.3,37.3,70.95,70.62
360.5,36.8,37.3,70.92,70.58
361.07,37,36.9,70.92,70.58
361.64,36.9,37.2,70.92,70.58
362.18,37.1,36.7,70.92,70.51
362.75,36.8,37.3,70.92,70.51
363.32,37.4,37,70.89,70.55
363.88,36.6,37.1,70.89,70.58
364.43,37.5,37.3,70.89,70.58
365.0,37.2,36.9,70.89,70.58
365.56,36.8,37.1,70.92,70.58
366.11,36.8,37.2,70.89,70.55
366.68,37.3,37.2,70.89,70.55
367.25,36.8,37,70.92,70.55
367.8,37.1,37.1,70.95,70.62
368.36,37.4,37,70.95,70.68
368.93,37.2,37.1,71.02,70.72
369.48,37.1,37.3,71.06,70.79
370.05,37.2,37.4,71.06,70.75
370.61,37,37.4,71.06,70.72
371.16,37.2,37.9,71.02,70.72
371.73,36.9,37.1,71.06,70.68
372.29,36.8,36.9,71.02,70.68
372.84,37,37,71.02,70.65
373.41,37.1,36.9,71.06,70.62
373.97,37.4,37.2,71.06,70.58
374.54,36.8,36.9,71.02,70.58
375.09,37.1,36.8,71.02,70.58
375.65,37.6,37.2,71.12,70.58
376.22,37.2,37.4,71.09,70.51
376.79,37.3,37.2,71.09,70.55
377.33,37.5,37.2,71.16,70.55
377.91,37.2,37.9,71.19,70.55
378.45,37.5,37.3,71.16,70.51
379.02,37.4,36.8,71.16,70.55
379.57,36.8,37.4,71.23,70.55
380.14,36.8,37.3,71.16,70.58
380.71,36.8,37.4,71.12,70.55
381.26,37.4,37.3,71.09,70.58
381.82,37.1,37.4,71.09,70.55
382.39,36.8,37.1,71.06,70.58
382.94,37,37,71.06,70.58
383.51,37.3,37.1,71.02,70.58
384.08,36.8,37,70.99,70.62
384.63,37.1,37.4,70.99,70.62
385.2,37,36.7,70.95,70.58
385.76,37.3,37.4,70.92,70.58
386.31,37.4,37.4,70.92,70.55
386.88,37,37.1,70.89,70.55
387.44,37.3,36.9,70.89,70.48
388.0,37.4,37,70.89,70.45
388.56,37.4,37.5,70.85,70.55
389.12,37.2,37.2,70.89,70.58
389.68,37.1,37.1,70.89,70.62
390.24,37.2,37.1,70.85,70.65
390.81,37.2,37.4,70.85,70.75
391.36,37.3,37,70.85,70.89
391.92,37.4,37.5,70.89,70.92
392.49,37,37.5,70.85,70.99
393.04,37.4,37.4,70.92,70.82
393.61,37.5,37,70.92,70.75
394.17,37.4,37.4,70.92,70.65
394.73,37,37.2,70.85,70.58
395.29,37.2,37.7,70.85,70.55
395.84,36.8,37.4,70.85,70.51
396.41,36.8,37.5,70.92,70.48
396.98,37.2,37.2,70.85,70.45
397.54,37.3,37.1,70.89,70.45
398.09,37.2,37.7,70.89,70.45
398.66,38,37.1,70.89,70.41
399.22,37.6,36.6,70.89,70.41
399.77,37.2,37.3,70.89,70.38
400.34,37.4,37.1,70.89,70.38
400.9,37.4,37.5,70.85,70.35
401.45,37.4,37,70.89,70.38
402.02,37.1,37.5,70.85,70.41
402.58,37.6,37.2,70.85,70.45
403.13,37.5,37.4,70.82,70.45
403.7,37.5,37.5,70.82,70.51
404.27,37.3,37,70.79,70.55
404.82,37.3,37.4,70.82,70.55
405.38,37.1,37.8,70.82,70.55
405.95,37.2,37.6,70.82,70.62
406.52,37.5,37.5,70.82,70.68
407.06,37.5,37.4,70.82,70.68
407.63,37.3,37,70.79,70.65
408.2,37.3,37.3,70.82,70.62
408.74,37,37.8,70.79,70.68
409.31,37.2,37.4,70.75,70.72
409.88,37.4,37.8,70.75,70.68
410.44,37.5,37.1,70.75,70.72
410.99,37.6,37.6,70.75,70.82
411.55,37.2,37.5,70.79,70.82
412.12,37.6,37.5,70.75,70.85
412.69,37.4,37.5,70.82,70.89
413.24,37.7,37,70.79,70.89
413.81,37.4,37.4,71.23,70.92
414.36,36.8,37.5,70.82,71.02
414.93,37.2,37.2,70.82,70.92
