Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
187733.37,24,24,41,47
188164.13,24,24,42,47
188595.38,24,24,42,47
189027.12,24,24,42,47
189459.36,24,24,42,47
189892.09,23,24,42,47
190325.31,24,24,42,47
190759.03,24,24,42,47
191193.25,24,24,42,47
191627.95,23,24,43,48
192063.15,24,24,42,48
192498.85,24,24,42,48
192935.04,24,24,42,48
193371.72,24,24,42,48
193808.89,24,24,42,48
194246.56,24,24,42,48
194684.74,24,24,42,48
195123.4,24,24,42,48
195562.55,24,24,42,48
196002.21,24,24,42,48
196442.35,24,24,42,48
196882.98,24,24,42,48
197324.11,24,24,42,48
197765.73,24,24,43,48
198207.85,24,24,43,48
198650.95,24,24,43,48
199094.09,24,24,43,48
199537.7,24,24,43,48
199981.8,24,24,43,48
200426.39,24,24,42,48
200871.49,24,21,42,48
201317.06,23,24,42,48
201763.13,24,24,42,48
202209.7,24,24,42,48
202656.76,24,24,42,48
203104.31,24,24,42,48
203552.35,24,24,42,48
204000.89,24,24,42,48
204449.92,24,24,42,48
204899.45,24,24,42,48
205349.47,23,24,42,48
205799.98,24,24,42,49
206250.99,24,24,42,49
206702.5,24,24,43,49
207154.51,24,24,42,49
207607.0,24,24,43,49
208059.98,23,24,43,49
208513.46,24,24,43,49
208967.43,24,24,43,49
209421.9,24,24,43,49
209876.86,24,24,43,49
210332.32,24,24,43,49
210788.27,24,24,43,49
211244.71,24,24,43,49
211701.65,24,24,43,49
212159.09,24,24,43,49
212617.02,23,24,43,49
213075.45,23,24,43,49
213534.37,24,24,43,49
213993.78,24,24,43,49
214453.68,24,24,43,49
214914.08,24,24,43,49
215374.97,24,24,43,49
215836.35,24,24,43,49
216298.23,24,24,43,49
216760.6,24,24,43,49
217223.46,24,24,43,49
217686.81,24,24,43,49
218150.66,24,24,43,49
218615.01,24,24,44,49
219079.85,24,24,43,49
219545.19,24,24,43,49
220011.02,24,24,43,49
220477.34,24,24,43,49
220944.15,24,24,43,49
221411.46,24,24,42,49
221879.26,24,24,42,49
222347.56,24,24,42,49
222816.36,24,24,42,49
223285.64,24,24,42,49
223755.41,24,24,42,49
224225.68,24,24,42,49
224696.44,24,24,42,49
225167.7,24,24,42,49
225639.45,24,24,42,49
226111.7,24,24,42,49
226584.44,24,24,42,50
227057.67,24,24,42,50
227531.4,24,24,43,50
228005.62,24,24,43,50
228480.34,24,24,42,50
228955.55,24,24,43,50
229431.25,24,24,43,50
229907.45,24,24,43,50
230384.14,24,24,43,50
230861.33,24,24,43,50
231339.01,24,24,43,50
231817.19,24,24,43,50
232295.86,24,24,43,50
232775.03,24,24,43,50
233254.68,24,24,43,50
233734.83,24,24,43,50
234215.47,24,24,43,50
234696.6,24,24,44,50
235178.23,24,24,44,50
235660.36,24,24,44,50
236142.98,24,24,44,50
236626.09,24,24,44,50
237109.7,24,24,44,50
237593.81,24,24,44,50
238078.41,24,24,44,50
238563.5,24,24,44,50
239049.08,24,24,44,50
239535.15,24,24,44,50
240021.72,24,24,44,50
240508.78,24,24,44,50
240996.34,24,24,44,50
241484.39,24,24,44,50
241972.94,24,24,44,50
242461.99,24,24,44,50
242951.54,24,24,44,50
