Time (s),N*m
30300136.15,0.0
30300147.56,0.0
30300159.11,0.0
30300170.73,0.0
30300182.38,0.0
30300194.09,0.0
30300205.9,0.0
30300217.79,0.0
30300229.74,0.0
30300241.73,0.0
30300253.77,0.0
30300265.87,0.0
30300278.09,0.0
30300290.38,0.0
30300302.78,0.0
30300315.24,0.0
30300327.74,0.0
30300340.3,0.0
30300352.92,0.0
30300365.62,0.0
30300378.36,0.0
30300391.14,0.0
30300404.0,0.0
30300416.91,0.0
30300429.89,0.0
30300442.96,0.0
30300456.09,0.0
30300469.26,0.0
30300482.47,0.0
30300495.72,0.0
30300509.09,0.0
30300522.5,0.0
30300536.0,0.0
30300549.56,0.0
30300563.18,0.0
30300576.83,0.0
30300590.54,0.0
30300604.28,0.0
30300618.08,0.0
30300632.0,0.0
30300645.99,0.0
30300660.02,0.0
30300674.11,0.0
30300688.26,0.0
30300702.46,0.0
30300716.7,0.0
30300731.06,0.0
30300745.46,0.0
30300759.93,0.0
30300774.45,0.0
30300789.02,0.0
30300803.61,0.0
30300818.26,0.0
30300833.02,0.0
30300847.81,0.0
30300862.71,0.0
30300877.67,0.0
30300892.67,0.0
30300907.72,0.0
30300922.83,0.0
30300938.09,0.0
30300953.41,0.0
30300968.83,0.0
30300984.29,0.0
30300999.8,0.0
30301015.36,0.0
30301031.04,0.0
30301046.78,0.0
30301062.58,0.0
30301078.44,0.0
30301094.35,0.0
30301110.3,0.0
30301126.34,0.0
30301142.41,0.0
30301158.62,0.0
30301174.88,0.0
30301191.2,0.0
30301207.61,0.0
30301224.07,0.0
30301240.58,0.0
30301257.17,0.0
30301273.8,0.0
30301290.46,0.0
30301307.17,0.0
30301323.95,0.0
30301340.87,0.0
30301357.84,0.0
30301374.86,0.0
30301391.93,0.0
30301409.05,0.0
30301426.21,0.0
30301443.39,0.0
30301460.65,0.0
30301477.98,0.0
30301495.37,0.0
30301512.82,0.0
30301530.37,0.0
30301547.97,0.0
30301565.61,0.0
30301583.33,0.0
30301601.13,0.0
30301618.99,0.0
30301636.89,0.0
30301654.86,0.0
30301672.87,0.0
30301690.96,0.0
30301709.17,0.0
30301727.44,0.0
30301745.76,0.0
30301764.14,0.0
30301782.54,0.0
30301800.97,0.0
30301819.46,0.0
30301838.0,0.0
30301856.62,0.0
30301875.27,0.0
30301893.98,0.0
30301912.77,0.0
30301931.65,0.0
30301950.58,0.0
30301969.59,0.0
30301988.65,0.0
30302007.74,0.0
30302026.87,0.0
30302046.06,0.0
30302065.3,0.0
30302084.61,0.0
30302104.02,0.0
30302123.55,0.0
30302143.14,0.0
30302162.77,0.0
30302182.44,0.0
30302202.16,0.0
30302221.95,0.0
30302241.81,0.0
30302261.73,0.0
30302281.7,0.0
30302301.77,0.0
30302321.91,0.0
30302342.09,0.0
30302362.42,0.0
30302382.84,0.0
30302403.3,0.0
30302423.8,0.0
30302444.33,0.0
30302464.91,0.0
30302485.55,0.0
30302506.24,0.0
30302527.01,0.0
30302547.85,0.0
30302568.76,0.0
30302589.72,0.0
30302610.73,0.0
30302631.79,0.0
30302652.91,0.0
30302674.08,0.0
30302695.29,0.0
30302716.57,0.0
30302737.92,0.0
30302759.32,0.0
30302780.77,0.0
30302802.36,0.0
30302824.0,0.0
30302845.7,0.0
30302867.46,0.0
30302889.26,0.0
30302911.12,0.0
30302933.05,0.0
30302955.03,0.0
30302977.09,0.0
30302999.22,0.0
30303021.4,0.0
30303043.65,0.0
30303065.93,0.0
30303088.25,0.0
30303110.65,0.0
30303133.1,0.0
30303155.6,0.0
30303178.16,0.0
30303200.78,0.0
30303223.44,0.0
30303246.18,0.0
30303269.03,0.0
30303291.92,0.0
30303314.87,0.0
30303337.89,0.0
30303361.01,0.0
30303384.23,0.0
30303407.51,0.0
30303430.86,0.0
30303454.29,0.0
30303477.75,0.0
30303501.27,0.0
30303524.82,0.0
30303548.48,0.0
30303572.2,0.0
30303596.0,0.0
30303619.86,0.0
30303643.78,0.0
30303667.76,0.0
30303691.79,0.0
30303715.89,0.0
30303740.02,0.0
30303764.23,0.0
30303788.48,0.0
30303812.78,0.0
30303837.16,0.0
30303861.58,0.0
30303886.09,0.0
30303910.64,0.0
30303935.25,0.0
30303959.9,0.0
30303984.64,0.0
30304009.41,0.0
30304034.25,0.0
30304059.17,0.0
30304084.17,0.0
30304109.22,0.0
30304134.33,0.0
30304159.47,0.0
30304184.7,0.0
30304209.97,0.0
30304235.36,0.0
30304260.79,0.0
30304286.31,0.0
30304311.89,0.0
30304337.49,0.0
30304363.15,0.0
30304388.89,0.0
30304414.69,0.0
30304440.58,0.0
30304466.51,0.0
30304492.5,0.0
30304518.55,0.0
30304544.65,0.0
30304570.87,0.0
30304597.14,0.0
30304623.46,0.0
30304649.84,0.0
30304676.27,0.0
30304702.75,0.0
30304729.28,0.0
30304755.93,0.0
30304782.63,0.0
30304809.39,0.0
30304836.19,0.0
30304863.04,0.0
30304889.94,0.0
30304916.87,0.0
30304943.87,0.0
30304970.92,0.0
30304998.06,0.0
30305025.25,0.0
30305052.53,0.0
30305079.85,0.0
30305107.24,0.0
30305134.86,0.0
30305162.54,0.0
30305190.28,0.0
30305218.1,0.0
30305245.95,0.0
30305273.94,0.0
30305302.02,0.0
30305330.18,0.0
30305358.37,0.0
30305386.61,0.0
30305414.93,0.0
30305443.32,0.0
30305471.76,0.0
30305500.26,0.0
30305528.82,0.0
30305557.42,0.0
30305586.08,0.0
30305614.89,0.0
30305643.74,0.0
30305672.66,0.0
30305701.61,0.0
30305730.6,0.0
30305759.64,0.0
30305788.75,0.0
30305818.01,0.0
30305847.33,0.0
30305876.7,0.0
30305906.11,0.0
30305935.6,0.0
30305965.12,0.0
30305994.7,0.0
30306024.35,0.0
30306054.04,0.0
30306083.79,0.0
30306113.6,0.0
30306143.47,0.0
30306173.38,0.0
30306203.42,0.0
30306233.51,0.0
30306263.68,0.0
30306293.9,0.0
30306324.16,0.0
30306354.48,0.0
30306384.92,0.0
30306415.42,0.0
30306445.98,0.0
30306476.61,0.0
30306507.28,0.0
30306538.01,0.0
30306568.8,0.0
30306599.7,0.0
30306630.65,0.0
30306661.66,0.0
30306692.72,0.0
30306723.87,0.0
30306755.08,0.0
30306786.36,0.0
30306817.69,0.0
30306849.1,0.0
30306880.56,0.0
30306912.08,0.0
30306943.65,0.0
30306975.3,0.0
30307007.05,0.0
30307038.89,0.0
30307070.77,0.0
30307102.71,0.0
30307134.68,0.0
30307166.69,0.0
30307198.73,0.0
30307230.87,0.0
30307263.07,0.0
30307295.32,0.0
30307327.69,0.0
30307360.11,0.0
30307392.58,0.0
30307425.11,0.0
30307457.77,0.0
30307490.49,0.0
30307523.26,0.0
30307556.09,0.0
30307588.94,0.0
30307621.87,0.0
30307654.89,0.0
30307687.99,0.0
30307721.14,0.0
30307754.35,0.0
30307787.61,0.0
30307820.91,0.0
30307854.26,0.0
30307887.73,0.0
30307921.25,0.0
30307954.83,0.0
30307988.48,0.0
30308022.19,0.0
30308055.96,0.0
30308089.86,0.0
30308123.84,0.0
30308157.86,0.0
30308191.95,0.0
30308226.09,0.0
30308260.28,0.0
30308294.57,0.0
30308328.9,0.0
30308363.3,0.0
30308397.76,0.0
30308432.28,0.0
30308466.85,0.0
30308501.47,0.0
30308536.2,0.0
30308570.99,0.0
30308605.82,0.0
30308640.71,0.0
30308675.65,0.0
30308710.64,0.0
30308745.75,0.0
30308780.93,0.0
30308816.16,0.0
30308851.45,0.0
30308886.82,0.0
30308922.22,0.0
30308957.67,0.0
30308993.22,0.0
30309028.81,0.0
30309064.45,0.0
30309100.17,0.0
30309135.96,0.0
30309171.8,0.0
30309207.69,0.0
30309243.65,0.0
30309279.65,0.0
30309315.71,0.0
30309351.83,0.0
30309388.0,0.0
30309424.24,0.0
30309460.54,0.0
30309497.0,0.0
30309533.53,0.0
30309570.09,0.0
30309606.69,0.0
30309643.35,0.0
30309680.05,0.0
30309716.83,0.0
30309753.71,0.0
30309790.69,0.0
30309827.74,0.0
30309864.82,0.0
30309901.94,0.0
30309939.11,0.0
30309976.37,0.0
30310013.67,0.0
30310051.02,0.0
30310088.42,0.0
30310125.95,0.0
30310163.53,0.0
30310201.2,0.0
30310238.92,0.0
30310276.7,0.0
30310314.52,0.0
30310352.38,0.0
30310390.3,0.0
30310428.28,0.0
30310466.32,0.0
30310504.44,0.0
30310542.68,0.0
30310581.0,0.0
30310619.39,0.0
30310657.81,0.0
30310696.32,0.0
30310734.88,0.0
30310773.51,0.0
30310812.2,0.0
30310850.94,0.0
30310889.75,0.0
30310928.59,0.0
30310967.49,0.0
30311006.46,0.0
30311045.48,0.0
30311084.56,0.0
30311123.7,0.0
30311162.89,0.0
30311202.13,0.0
30311241.44,0.0
30311280.88,0.0
30311320.38,0.0
30311359.93,0.0
30311399.54,0.0
30311439.2,0.0
30311478.91,0.0
30311518.8,0.0
30311558.73,0.0
30311598.74,0.0
30311638.81,0.0
30311678.94,0.0
30311719.16,0.0
30311759.43,0.0
30311799.75,0.0
30311840.12,0.0
30311880.55,0.0
30311921.04,0.0
30311961.56,0.0
30312002.14,0.0
30312042.79,0.0
30312083.52,0.0
30312124.31,0.0
30312165.18,0.0
30312206.09,0.0
30312247.07,0.0
30312288.08,0.0
30312329.17,0.0
30312370.33,0.0
30312411.56,0.0
30312452.83,0.0
30312494.15,0.0
30312535.63,0.0
30312577.24,0.0
30312618.9,0.0
30312660.61,0.0
30312702.36,0.0
30312744.16,0.0
30312785.99,0.0
30312827.91,0.0
30312869.89,0.0
30312911.94,0.0
30312954.05,0.0
30312996.21,0.0
30313038.47,0.0
30313080.76,0.0
30313123.18,0.0
30313165.68,0.0
30313208.22,0.0
