Time (s),Temperature (Degrees C)
138436.87,16
138778.4,16
139120.5,16
139463.22,16
139806.51,16
140150.41,16
140494.85,16
140839.91,16
141185.6,16
141531.84,16
141878.69,16
142226.11,16
142574.12,16
142922.72,16
143271.92,16
143622.34,16
143973.34,16
144324.88,16
144677.03,16
145029.77,16
145383.11,16
145737.07,16
146091.6,16
146446.71,16
146802.43,16
147158.7,16
147515.63,16
147873.15,16
148231.25,16
148589.88,16
148949.11,16
149308.99,16
149669.4,16
150030.44,16
150392.07,16
150754.26,16
151117.05,16
151480.4,16
151844.39,16
152208.99,16
152574.13,16
152939.85,16
153306.17,16
153673.09,16
154040.6,16
154408.72,16
154777.48,16
155146.77,16
155517.19,16
155888.24,16
156259.88,16
156632.12,16
157004.93,16
157008.43,0
157012.17,16
157016.48,16
157021.36,16
157026.8,16
157032.86,16
157039.5,16
157046.77,16
157054.64,16
157063.09,16
157072.12,16
157081.76,16
157091.98,16
157102.86,16
157114.33,16
157126.35,16
157138.93,16
157152.09,16
157165.84,16
157180.25,16
157195.28,16
157210.84,16
157226.97,16
157243.73,16
157261.06,16
157278.96,16
157297.53,16
157316.66,16
157336.34,16
157356.61,16
157377.46,16
157398.92,16
157421.0,16
157443.66,16
157466.9,16
157490.74,16
157515.15,16
157540.1,16
157565.66,16
157591.88,16
157618.64,16
157646.01,16
157673.92,16
157702.43,16
157731.59,16
157761.33,16
157791.64,16
157822.57,16
157854.1,16
157886.17,16
157918.86,16
157952.11,16
157985.95,16
158020.42,16
158055.47,16
158091.12,16
158127.37,16
158164.17,16
158201.54,16
158239.56,16
158278.2,16
158317.97,16
158358.35,16
158399.29,16
158440.84,16
158482.98,16
158525.74,16
158569.07,16
158612.95,16
158657.4,16
158702.44,16
158748.13,16
158794.4,16
158841.27,16
158888.75,16
158937.98,16
158987.78,16
159038.13,16
159089.09,16
159140.65,16
159192.83,16
159245.61,16
159298.94,16
159352.85,16
159407.4,16
159462.55,16
159518.32,16
159574.62,16
159631.5,16
159688.94,16
159746.96,16
159805.57,16
159864.82,16
159924.67,16
159985.1,16
160046.13,16
160107.8,16
160170.01,16
160232.85,16
160296.26,16
160360.31,16
160424.94,16
160490.15,16
160555.95,16
160622.39,16
160689.49,16
160757.21,16
160825.52,16
160894.51,16
160964.05,16
161034.15,16
161104.85,16
161176.12,16
161248.02,16
161320.51,16
161393.57,16
161467.25,16
161541.59,16
161616.53,16
161692.06,16
161768.19,16
161844.89,16
161922.21,16
162000.15,16
162078.74,16
162158.0,16
162237.82,16
162318.26,16
162399.34,16
162481.05,16
162563.41,16
162646.39,16
162730.03,16
162814.22,16
162898.99,16
162984.37,16
163070.37,16
163157.01,16
163244.2,16
163331.97,16
163420.38,16
163509.34,16
163598.92,16
163689.06,16
163779.81,16
163871.18,16
163963.12,16
164055.66,16
164148.78,16
164242.48,16
164336.78,16
164431.66,16
164527.19,16
164623.29,16
164720.04,16
164817.43,16
164915.48,16
165014.13,16
165113.4,16
165213.27,16
165313.8,16
165414.89,16
165516.61,16
165618.9,16
165721.77,16
165825.3,16
165929.41,16
166034.14,16
166139.5,16
166245.44,16
166351.95,16
166459.08,16
166566.86,16
166675.21,16
166784.16,16
166893.67,16
167003.76,16
167114.38,16
167225.62,16
167337.43,16
167449.86,16
167562.89,16
167676.48,16
167790.65,16
167905.45,16
168020.85,16
168136.84,16
168253.44,16
168370.65,16
168488.5,16
168607.01,16
168726.13,16
168845.92,16
168966.33,16
169087.38,16
169209.02,16
169331.26,16
169454.11,16
169577.61,16
169701.68,16
169826.37,16
169951.64,16
170077.5,16
170203.98,16
170331.07,16
170458.8,16
170587.07,16
170715.95,16
170845.46,16
170975.55,16
171106.25,16
171237.52,16
171369.39,16
171502.44,16
171636.07,16
171770.31,16
171905.17,16
172040.58,16
172176.61,16
172313.21,16
172450.39,16
172588.2,16
172726.57,16
172865.54,16
173005.66,16
173146.37,16
173287.7,16
173429.64,16
173572.21,16
173715.29,16
173858.96,16
174003.18,16
174148.04,16
174293.47,16
174439.54,16
174586.2,16
174733.41,16
174881.19,16
175029.56,16
175178.55,16
175328.14,16
175478.33,16
175629.11,16
175780.45,16
175932.38,16
176084.93,16
176238.1,16
176392.41,16
176547.27,16
176702.78,16
176858.91,16
177016.2,16
177174.1,16
177332.56,16
177491.6,16
177651.24,16
177811.48,16
177972.29,16
178133.73,16
178295.7,16
178458.34,16
178621.51,16
178785.28,16
178949.63,16
179114.62,16
179281.94,16
179449.8,16
179618.26,16
179787.32,16
179957.01,16
180127.33,16
180298.18,16
180469.62,16
180641.67,16
180814.33,16
180987.57,16
180991.17,0
180995.47,16
181000.35,16
181005.85,16
181011.93,16
181018.59,16
181025.89,16
181033.75,16
181042.21,16
181051.24,16
181060.89,16
181071.12,16
181081.99,16
181093.45,16
181105.46,16
181118.04,16
181131.19,16
181144.94,16
181159.33,16
181174.33,16
181189.89,16
181206.03,16
181222.79,16
181240.12,16
181258.09,16
181276.63,16
181295.77,16
181315.44,16
181335.71,16
181356.55,16
181378.02,16
181400.1,16
181422.8,16
181446.07,16
181469.92,16
181494.31,16
181519.28,16
181544.84,16
181571.04,16
181597.81,16
181625.2,16
181653.14,16
181681.7,16
181710.85,16
181740.61,16
181771.55,16
181803.03,16
181835.12,16
181867.77,16
181901.03,16
181934.9,16
181969.39,16
182004.43,16
182040.08,16
182076.32,16
182113.13,16
182150.55,16
182188.59,16
182227.19,16
182266.38,16
182306.15,16
182346.54,16
182387.54,16
182429.13,16
182471.27,16
182514.01,16
182557.33,16
182601.21,16
182645.72,16
182690.86,16
182736.58,16
182782.89,16
182829.75,16
182877.24,16
182925.29,16
182928.75,0
182932.49,16
182936.79,16
182941.66,16
182947.14,16
182953.2,16
182965.59,0
182978.57,0
182992.12,0
183006.29,16
183021.09,16
183036.46,16
183052.42,16
183068.94,16
183086.06,16
183103.74,16
183122.06,16
183140.99,16
183160.48,16
183180.57,16
183201.2,16
183222.45,16
183244.32,16
183266.79,16
183289.82,16
183313.42,16
183337.62,16
183362.39,16
183387.77,16
183413.77,16
183440.33,16
183467.51,16
183495.28,16
183523.63,16
183552.56,16
183582.07,16
183612.22,16
183642.97,16
183674.29,16
183706.19,16
183738.65,16
183771.7,16
183805.33,16
183839.59,16
183874.44,16
183909.92,16
183945.96,16
183982.57,16
184019.76,16
184057.61,16
184096.08,16
184135.1,16
184174.66,16
184214.81,16
184255.54,16
184296.86,16
184338.78,16
184381.35,16
184424.5,16
184468.2,16
184512.47,16
184557.35,16
184602.83,16
184648.88,16
184696.15,16
184743.98,16
184792.4,16
184841.37,16
184890.98,16
184941.22,16
184992.05,16
185043.46,16
185095.43,16
185147.97,16
185201.07,16
185254.84,16
185309.21,16
185364.12,16
185419.65,16
185475.76,16
185532.49,16
185589.81,16
185647.7,16
185706.19,16
185765.31,16
185824.96,16
185885.2,16
185946.03,16
186007.5,16
186069.56,16
186132.21,16
186195.42,16
186259.23,16
186323.62,16
186388.56,16
186454.16,16
186520.91,16
186588.26,16
186656.15,16
186724.68,16
186793.77,16
186863.48,16
186933.81,16
187004.73,16
187077.39,16
187150.62,16
187224.48,16
187298.96,16
187374.0,16
187449.63,16
187525.84,16
187602.64,16
187606.12,0
187609.89,16
187614.24,16
187619.19,16
187624.76,16
187630.93,16
187637.65,16
187644.99,16
187652.92,16
187661.43,16
187670.54,16
187680.26,16
187690.57,16
187701.47,16
187712.92,16
187724.98,16
187739.43,16
187754.46,16
187770.04,16
187786.21,16
187803.01,16
187820.37,16
187838.33,16
187856.85,16
187876.01,16
187895.76,16
187916.09,16
187937.03,16
187959.14,16
187981.83,16
188005.11,16
188029.01,16
188053.47,16
188078.49,16
188104.09,16
188130.32,16
188157.18,16
188184.6,16
188212.63,16
188241.3,16
188270.52,16
188300.3,16
188330.67,16
188361.66,16
188393.26,16
188425.43,16
188458.15,16
188491.47,16
188525.4,16
188559.93,16
188595.05,16
188630.81,16
188667.09,16
188703.98,16
188741.46,16
188779.51,16
188818.13,16
188857.34,16
188897.13,16
188937.57,16
188978.6,16
189020.22,16
189062.42,16
189105.23,16
189148.62,16
189192.61,16
189237.15,16
189282.29,16
189328.03,16
189374.36,16
189421.26,16
189468.75,16
189516.89,16
189565.58,16
189614.89,16
189664.8,16
189715.28,16
189766.33,16
189817.94,16
189870.21,16
189923.67,16
189977.67,16
190032.27,16
190087.49,16
190143.27,16
190199.65,16
190256.65,16
190314.19,16
190372.36,16
190431.09,16
190490.42,16
190550.34,16
190610.85,16
190673.17,16
190736.02,16
190799.46,16
190863.56,16
190928.22,16
190993.48,16
191059.29,16
191125.71,16
191193.32,16
191261.54,16
191330.91,16
191400.85,16
