Time (s),Amps
127663.86,-11776
127853.42,-11008
128045.01,-12032
128238.67,-12032
128433.27,-12800
128628.92,-12800
128825.51,-12800
129023.14,-11776
129222.77,-13824
129423.45,-12288
129626.04,-11264
129829.7,-12288
130035.35,-12288
130241.95,-11776
130449.58,-12032
130658.22,-12032
130867.84,-11776
131078.45,-11776
131291.1,-12288
131504.72,-12288
131719.35,-12032
131934.99,-12800
132151.65,-12288
132370.26,-13056
132589.92,-12288
132810.59,-12032
133032.25,-13056
133254.88,-12288
133479.57,-13056
133705.21,-12800
133932.86,-11776
134161.54,-13312
134391.18,-12288
134621.84,-13824
134853.52,-12288
135086.17,-12288
135319.86,-12288
135555.5,-12288
135792.14,-12288
136030.8,-12288
136270.48,-12800
136511.15,-12288
136752.82,-12800
136996.5,-12800
137241.16,-13056
137486.86,-12288
137733.52,-13056
137981.18,-13824
138229.88,-13056
138479.55,-12288
138730.28,-12288
138981.97,-13312
139234.67,-12288
139489.38,-12800
139745.08,-13824
140001.79,-12288
140259.5,-11776
140519.19,-12800
140779.89,-12800
141042.63,-13056
141306.35,-12288
141571.05,-12800
141836.76,-13056
142103.49,-12288
142371.21,-13056
142639.91,-12800
142909.6,-13056
142912.91,-13824
142917.21,-13056
142922.53,-13312
142928.84,-13312
142936.16,-14336
142944.46,-13312
142953.79,-14080
142964.11,-13312
142978.46,-12288
142993.79,-12288
143010.17,-12288
143027.49,-12800
143045.82,-12800
143066.18,-13056
143087.55,-13056
143110.91,-12288
143136.25,-12288
143162.6,-13056
143189.99,-13056
143218.35,-12800
143247.75,-13056
143279.13,-13312
143311.49,-13824
143345.84,-12800
143382.23,-14592
143419.58,-13056
143457.93,-12800
143498.31,-7424
143540.66,-11008
143584.05,-11264
143628.47,-11264
143673.85,-11264
143720.26,-11008
143767.64,-11264
143816.03,-11008
143865.44,-11776
143915.85,-11264
143967.24,-11776
144019.64,-11264
144073.04,-11264
144127.47,-11008
144183.85,-11264
144241.33,-11776
144299.71,-11008
144359.12,-11776
144421.52,-12800
144484.92,-9472
144549.34,-10752
144615.76,-12800
144683.16,-11008
144751.55,-8960
144820.97,-8192
144891.39,-8960
144962.79,-7424
145035.2,-8192
145108.62,-8448
145183.11,-8192
145258.51,-8448
145334.93,-11264
145412.39,-10752
145490.81,-10752
145571.25,-9728
145652.67,-6400
145735.13,-12032
145818.57,-6144
145902.99,-7168
145988.45,-8704
146074.89,-8704
146162.34,-5376
146251.76,-4352
146342.23,-6144
146434.67,-4864
146528.11,-4864
146622.58,-5888
146718.02,-4352
146814.47,-6144
146911.89,-6144
147010.35,-3072
147110.81,-1536
147212.27,-4864
147315.75,-5888
147420.22,-1024
147525.7,-5376
147632.18,-1792
147739.69,257
147848.15,-2560
147957.62,-768
148068.14,-3328
148179.63,257
148294.13,-1024
148410.6,-768
148528.08,-1792
148647.57,1793
148768.06,1793
148889.55,-256
149012.03,1281
149137.52,4097
149264.99,3073
149394.47,4609
149524.96,3585
149656.44,769
149788.94,4609
149922.44,3073
150056.98,5121
150192.51,2561
150330.07,5633
150468.56,5633
150608.07,5633
150748.58,5633
150890.12,6913
151032.64,4865
151176.18,6145
151321.73,7937
151468.3,5889
151615.82,6401
151764.35,5121
151914.9,3585
152066.44,5633
152218.97,4097
152372.52,5889
152528.03,5633
152684.58,5889
152842.14,5121
153000.68,6145
153160.24,5121
153320.78,5889
153482.36,5889
153644.9,5889
153808.47,5889
153974.07,5633
154140.63,5889
154309.21,5121
154478.8,4865
154649.37,5633
154821.92,5633
